RBM12,BCL2
16.06035,10.50795
19.09696,14.40327
21.52569,12.72927
16.86667,8.78744
18.23917,10.8953
20.02551,13.03925
8.7288,3.375567
16.33592,4.111887
11.88909,4.983061
20.48223,19.83223
8.070081,4.344341
8.706049,6.427035
4.800609,4.855395
11.0677,4.273013
14.02715,1.707448
22.7552,10.3158
20.59184,10.62873
24.35162,29.44013
8.024827,0.826324
22.46795,9.085937
13.17049,4.228154
19.67182,12.05338
6.999426,12.12408
20.4316,40.30215
7.267497,9.90804
12.25603,7.864634
6.993923,6.686817
11.04826,6.736605
23.8007,7.915918
12.76104,13.28144
16.33847,3.957548
14.79074,9.161734
15.75422,16.94428
17.14135,27.46758
13.89178,10.96355
22.07936,43.99783
11.30248,8.39046
11.78632,14.31533